ID,item_cnt_month
0,0.70823705
1,0.24624169
2,1.2900641
3,0.45615718
4,3.5804355
5,0.75326216
6,0.9069468
7,0.17291716
8,0.83953416
9,0.8081385
10,2.871301
11,0.21182728
12,0.13890299
13,0.5042193
14,1.683275
15,2.742123
16,0.062171876
17,0.17753586
18,1.4167815
19,0.25954303
20,0.5146579
21,0.34342247
22,2.220148
23,0.59672517
24,1.3426008
25,0.86122847
26,0.37986282
27,0.47378963
28,1.0028719
29,3.3637104
30,0.7961772
31,0.7273579
32,0.8703314
33,0.9628999
34,0.058461905
35,0.070923746
36,0.07346985
37,0.8409356
38,0.1965824
39,0.12888917
40,0.7254042
41,1.7663665
42,4.223112
43,4.1406446
44,1.1080074
45,0.14743096
46,1.1504033
47,0.50294644
48,0.6893692
49,0.80979
50,1.3452303
51,0.50574833
52,0.45012462
53,0.41125694
54,5.5496464
55,3.2331543
56,2.2498322
57,1.941328
58,4.262646
59,2.9707057
60,3.730135
61,0.2850514
62,0.20774114
63,0.45561826
64,2.8082564
65,0.32279795
66,0.58298516
67,0.059507042
68,0.5217321
69,0.076500565
70,0.32279795
71,1.6211126
72,0.2285383
73,1.2470839
74,4.940916
75,4.953168
76,0.28762615
77,2.8082564
78,0.5853374
79,0.84322786
80,1.4054964
81,2.3887494
82,1.0502985
83,0.2852815
84,0.8142769
85,0.91818243
86,0.5677389
87,0.03470266
88,2.4550886
89,0.845851
90,0.7981113
91,0.67926764
92,1.8728135
93,0.09321001
94,0.61352277
95,0.0062720478
96,0.07102007
97,0.40783393
98,0.6457899
99,1.4354565
100,1.2048965
101,1.624107
102,0.3349722
103,1.3254886
104,0.12575844
105,0.7200384
106,0.4807614
107,0.8066201
108,0.15584725
109,0.2545293
110,0.25153646
111,0.56469816
112,0.5961118
113,1.004104
114,0.15150353
115,0.37366357
116,0.46688423
117,0.10683516
118,8.363756
119,0.14256653
120,0.090528876
121,0.106126845
122,0.33129257
123,0.40732858
124,0.45828608
125,0.9460285
126,0.5445643
127,0.12186089
128,0.32452425
129,0.26003516
130,0.43723485
131,0.030705571
132,1.1109312
133,3.8099582
134,0.0778068
135,2.0661874
136,0.92295027
137,1.1611911
138,1.5526782
139,0.2968505
140,0.2710654
141,0.34155902
142,0.12158489
143,0.4546996
144,0.14763215
145,0.14763215
146,0.14763215
147,0.087138176
148,0.23330343
149,0.10280433
150,0.06332177
151,0.559483
152,5.3251066
153,0.2367574
154,0.061867565
155,0.18448779
156,0.24193701
157,0.29304093
158,0.07679576
159,0.2023058
160,1.0341115
161,0.19456229
162,0.70174
163,0.7742251
164,0.5460103
165,0.10274404
166,0.3919544
167,0.035768032
168,0.24523604
169,0.1401991
170,0.18284577
171,0.60244197
172,0.12808618
173,2.805867
174,1.5676771
175,3.2177868
176,1.0330582
177,0.34014934
178,0.1897493
179,0.14129296
180,1.9781089
181,0.13467732
182,0.21981001
183,0.17225668
184,0.09020805
185,0.37094107
186,0.1342178
187,0.123973966
188,0.2372902
189,0.2372902
190,0.23466405
191,0.5229312
192,0.7016777
193,0.15753579
194,0.22826019
195,0.12846595
196,0.46948332
197,3.551751
198,1.3384473
199,3.4813268
200,0.071644485
201,3.4813268
202,0.13481754
203,1.1600015
204,0.15368232
205,0.60490507
206,0.47358242
207,0.06655741
208,1.3939993
209,0.39681327
210,0.15886942
211,0.10011944
212,0.037731707
213,0.25881118
214,0.07063234
215,0.15223303
216,0.28174853
217,0.045326352
218,1.4808075
219,0.46382713
220,0.2575774
221,2.136598
222,3.4869363
223,0.69693226
224,2.1743255
225,0.29373693
226,0.62398934
227,0.12047812
228,0.12463358
229,0.22224823
230,4.1852226
231,0.6519762
232,0.010144442
233,0.15117645
234,0.050406456
235,0.07104921
236,0.43358797
237,0.54974204
238,0.25559545
239,0.22614306
240,0.3173721
241,0.07049751
242,0.089372754
243,4.050949
244,0.24330199
245,0.25759763
246,1.584634
247,0.73433393
248,0.5479167
249,0.069378555
250,0.6932
251,0.29244685
252,0.39267915
253,1.220983
254,0.44142753
255,5.2159147
256,0.5790371
257,0.26526576
258,0.39420223
259,0.13523582
260,0.05308205
261,0.108128846
262,0.22875124
263,0.021374226
264,0.11085063
265,0.70043606
266,0.054830402
267,0.15610445
268,0.5203385
269,0.26443732
270,1.1483859
271,0.16600394
272,0.11710748
273,1.2495966
274,14.256115
275,0.13474178
276,0.16968057
277,1.1089988
278,0.33056313
279,0.6380545
280,0.25076053
281,0.13926676
282,0.094748855
283,0.5048486
284,0.39667064
285,0.20938891
286,0.077872574
287,0.7563053
288,0.18349203
289,0.22946471
290,0.070836544
291,0.1262576
292,0.41999286
293,0.13648483
294,0.58577704
295,1.2076769
296,0.4438238
297,0.2803021
298,0.39628464
299,0.32882684
300,0.15504426
301,0.82808715
302,0.96727663
303,0.50578386
304,0.07361445
305,0.05257091
306,0.25741392
307,0.18300831
308,0.15639213
309,0.8523801
310,0.79704
311,0.5235115
312,0.5049625
313,0.28502822
314,0.031579196
315,0.9295347
316,0.26755735
317,2.5280643
318,0.06933743
319,0.18926403
320,0.4603192
321,0.045377225
322,0.7574919
323,0.15113297
324,0.5526264
325,0.48607692
326,0.15059948
327,0.14592794
328,0.2045089
329,0.20598856
330,0.19924942
331,0.10413498
332,0.07975039
333,0.23944917
334,0.4923598
335,0.21593058
336,0.3740947
337,0.49096367
338,0.20179611
339,0.65544
340,0.09390512
341,0.057827026
342,0.3815838
343,0.796607
344,0.1419509
345,0.057474285
346,3.670837
347,2.9373336
348,0.0633716
349,0.55186105
350,0.21879926
351,0.5238092
352,0.07956615
353,0.0830034
354,0.35123664
355,0.6421222
356,0.47078586
357,1.3150407
358,0.3212587
359,0.52672535
360,0.63553065
361,4.411043
362,0.76164925
363,0.9362184
364,0.75983
365,0.47581336
366,0.38702732
367,0.037522495
368,0.1160467
369,0.5456124
370,0.1816855
371,1.5122252
372,0.8096051
373,0.5076134
374,1.6368601
375,2.4591336
376,0.65892565
377,0.2041986
378,0.39976627
379,0.22595394
380,2.40706
381,0.44532847
382,0.4077105
383,0.3104348
384,1.3789942
385,0.2253128
386,0.5062477
387,0.9445874
388,0.14470977
389,0.04153052
390,0.045035094
391,0.24901232
392,0.09641871
393,0.49385813
394,0.13987875
395,0.013244718
396,2.0778432
397,1.0303724
398,0.08013666
399,0.27118617
400,0.48134217
401,0.328696
402,2.7790768
403,2.6715777
404,0.99145746
405,0.12090531
406,0.31605244
407,0.06498167
408,0.20486301
409,4.584668
410,0.29404294
411,1.6758163
412,0.32119817
413,0.4950432
414,0.061264634
415,4.203924
416,1.8229119
417,4.584668
418,3.1382952
419,0.29108202
420,0.46615914
421,2.6407883
422,0.36024427
423,0.7379568
424,0.28426456
425,0.26907647
426,4.6672773
427,0.63547695
428,1.0719018
429,0.28306186
430,0.8569151
